"code_domaine_competence","domaine_competence","code_enjeu","enjeu","code_objectif","objectif","code_macro_competence","code_ogr_macro_competence","libelle_macro_competence","code_ogr_competence","libelle_competence"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","403342","Préparer l'espace et le matériel nécessaires à la séance d'activité"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","403345","Motiver les pratiquants sur des projets sportifs adaptés à leur niveau et leurs aspirations"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","403349","Aider les pratiquants à situer leur niveau sportif et leur progression"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405151","Développer un projet d'animation sportive au sein d'un projet associatif"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405156","Organiser des activités sportives en milieu naturel"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405175","Animer une séance d'activités physiques en veillant à respecter la sécurité liée à la pratique"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405179","Adapter le matériel ou les équipements selon les publics encadrés"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405180","Adapter les programmes de préparation physique"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405182","Adapter le parcours au pratiquant"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405183","Etablir les programmes d'activités physiques adaptées"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","405233","Concevoir des programmes de rééducation après blessure afin de restaurer la force et la mobilité du sportif"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","483730","Organiser des sessions d'apprentissage de la natation"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","484262","Organiser des activités aquatiques adaptées à différents groupes"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","486387","Planifier des itinéraires adaptés aux capacités des participants"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","490068","Promouvoir l'esprit sportif et maintenir un comportement exemplaire"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","490438","Faciliter l'engagement du pratiquant dans les activités physiques et sportives adaptées, en respect de la responsabilité éthique pour autrui"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","490458","Planifier les parcours en fonction des capacités des participants"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","490553","Déterminer les différentes séquences d'une cascade"
