"code_ogr","libelle","code_rubrique"
"102643","Réaliser un montage photo","1"
"102672","Réaliser les contrôles chimiques des bains de développement des négatifs et les contrôles sensitométriques de l'émulsion","1"
"102675","Transférer le film cinématographique sur vidéo à partir du télécinéma","1"
"102679","Contrôler les rushes, les synchroniser avec la bande son et surveiller leur projection","1"
"102694","Renseigner les supports de suivi d'intervention","1"
"102704","Réceptionner et contrôler les colis de films (état général des copies, quantités, format son, ...)","1"
"102707","Vérifier le fonctionnement des appareils de projection, la qualité du son et de l'image et effectuer les réglages des projecteurs et des chaînes sonores","1"
"102719","Installer des bobines sur un dispositif de déroulement à plateaux sans fin","1"
"102720","Installer des bobines sur un dispositif de déroulement horizontal","1"
"102721","Installer des bobines sur un dispositif de déroulement vertical","1"
"102727","Animer les éléments d'une image (restitution des mouvements image par image, définition des trajectoires)","1"
"102748","Réaliser un panneau d'exposition, présentoir, stand","1"
"102794","Sélectionner, doser et mélanger les encres selon la teinte attendue et les supports à imprimer","1"
"102795","Monter la forme imprimante sur la machine, régler les paramètres d'impression (calage, encrage, pression des cylindres, ...) et charger les supports d'impression et les consommables","1"
"102796","Réaliser une première impression avant roulage et procéder aux ajustements (densité, calage des couleurs, contours, ...)","1"
"102797","Présenter une épreuve pour obtention du bon à rouler, lancer et surveiller l'impression","1"
"102826","Identifier les différentes opérations de façonnage ou de routage selon les critères de fabrication (type de papier, format, etc.) ou les instructions","1"
"102828","Régler les paramètres des machines et équipements","1"
"102856","Couper des produits imprimés","1"
"102860","Réaliser une technique de découpe (presse à platine) sur un produit imprimé","1"
"102861","Réaliser une technique sur un produit imprimé","1"
"102887","Superviser des phases d'impression","1"
"102901","Réaliser des opérations manuelles de façonnage ou routage","1"
"102902","Assurer la conformité des produits finis","1"
"102903","Retirer des produits non conformes","1"
"102910","Réaliser manuellement l'affranchissement pour l'expédition","1"
"102911","Réaliser manuellement la mise sous tube pour l'expédition","1"
"102912","Réaliser l'étiquetage de produits","1"
"102913","Réaliser manuellement, pour l'expédition, le tri par destination (par produit, client, etc.)","1"
"102914","Repérer les annotations de l'éditeur et de l'auteur pour intervenir sur les documents","1"
"102915","Corriger les erreurs d'orthographe, de grammaire, de syntaxe, de typographie","1"
"102916","Vérifier la fiabilité des dates, données scientifiques, historiques, citations et apporter les corrections nécessaires","1"
"102918","Corriger et annoter le document d'indications nécessaires à sa mise en page","1"
"102919","Soumettre le document corrigé au commanditaire pour approbation","1"
"102920","Vérifier la conformité des corrections portées au document avant impression","1"
"102946","Saisir le texte ou réaliser la maquette à partir du manuscrit, pré-projet, brouillon","1"
"102948","Traiter textes et images en fonction des modes et des supports d'impression","1"
"102961","Préparer des documents pour une impression","1"
"102972","Préparer des supports et matériaux (sciage, perforage, pliage, chanfreinage, polissage, ...)","1"
"102973","Découper des films adhésifs","1"
"102974","Réaliser la finition de lettres prédécoupées au plotter","1"
"102976","Réaliser la pose de visuels","1"
"102977","Réaliser la reproduction de maquettes à partir d'un moniteur vidéo ou d'un vidéoprojecteur","1"
