"code_theme","libelle_theme","code_ogr_rome","code_rome","libelle_rome"
"001","Métiers de l'environnement et du développement durable","515458","A1322","Technicien / Technicienne de rivière"
"001","Métiers de l'environnement et du développement durable","518742","A1323","Ornithologue"
"001","Métiers de l'environnement et du développement durable","518781","A1324","Ingénieur / Ingénieure biogaz"
"001","Métiers de l'environnement et du développement durable","521026","A1325","Chargé / Chargée de projet Biodiversité"
"001","Métiers de l'environnement et du développement durable","16","A1402","Aide agricole en production végétale"
"001","Métiers de l'environnement et du développement durable","19","A1405","Arboriculteur / Arboricultrice"
"001","Métiers de l'environnement et du développement durable","23","A1409","Aviculteur / Avicultrice"
"001","Métiers de l'environnement et du développement durable","24","A1410","Eleveur / Eleveuse d'ovins"
"001","Métiers de l'environnement et du développement durable","28","A1414","Horticulteur / Horticultrice"
"001","Métiers de l'environnement et du développement durable","30","A1416","Exploitant / Exploitante agricole"
"001","Métiers de l'environnement et du développement durable","31","A1417","Saliculteur / Salicultrice"
"001","Métiers de l'environnement et du développement durable","403955","A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente"
"001","Métiers de l'environnement et du développement durable","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole"
"001","Métiers de l'environnement et du développement durable","488776","A1427","Goémonier / Goémonière"
"001","Métiers de l'environnement et du développement durable","488903","A1428","Algoculteur / Algocultrice"
"001","Métiers de l'environnement et du développement durable","488914","A1429","Apiculteur / Apicultrice"
"001","Métiers de l'environnement et du développement durable","509364","A1432","Osiériculteur / Osiéricultrice"
"001","Métiers de l'environnement et du développement durable","509394","A1433","Maraîcher / Maraîchère"
"001","Métiers de l'environnement et du développement durable","509512","A1436","Conducteur / Conductrice de travaux en entreprise de travaux agricoles"
"001","Métiers de l'environnement et du développement durable","509516","A1437","Champignonniste"
"001","Métiers de l'environnement et du développement durable","509694","A1440","Cultivateur urbain / Cultivatrice urbaine"
"001","Métiers de l'environnement et du développement durable","510265","A1447","Herboriste"
"001","Métiers de l'environnement et du développement durable","33","A1502","Maréchal-ferrant / Maréchale-ferrante"
"001","Métiers de l'environnement et du développement durable","489040","C1506","Responsable de projet immobilier"
"001","Métiers de l'environnement et du développement durable","403088","E1109","Directeur / Directrice de la communication"
"001","Métiers de l'environnement et du développement durable","488921","E1112","Chargé / Chargée de communication"
"001","Métiers de l'environnement et du développement durable","515383","E1131","Chargé / Chargée de plaidoyer"
"001","Métiers de l'environnement et du développement durable","144","F1103","Diagnostiqueur / Diagnostiqueuse immobilier"
"001","Métiers de l'environnement et du développement durable","146","F1105","Géologue"
"001","Métiers de l'environnement et du développement durable","404537","F1113","Responsable énergie"
"001","Métiers de l'environnement et du développement durable","404538","F1114","Conseiller / Conseillère en rénovation énergétique"
"001","Métiers de l'environnement et du développement durable","488578","F1115","Vulcanologue"
"001","Métiers de l'environnement et du développement durable","488615","F1118","Sismologue"
"001","Métiers de l'environnement et du développement durable","488621","F1119","Pédologue"
"001","Métiers de l'environnement et du développement durable","488637","F1121","Architecte du patrimoine national"
"001","Métiers de l'environnement et du développement durable","489200","F1123","Glaciologue"
"001","Métiers de l'environnement et du développement durable","488897","F1124","Hydrologue"
"001","Métiers de l'environnement et du développement durable","509414","F1128","Géotechnicien / Géotechnicienne"
"001","Métiers de l'environnement et du développement durable","509938","F1136","Chef / Cheffe de projet éolien"
"001","Métiers de l'environnement et du développement durable","510153","F1138","Géothermicien / Géothermicienne"
"001","Métiers de l'environnement et du développement durable","510177","F1141","Ingénieur / Ingénieure études conception électrique"
"001","Métiers de l'environnement et du développement durable","510427","F1142","Océanographe"
"001","Métiers de l'environnement et du développement durable","510268","F1143","Géophysicien / Géophysicienne"
"001","Métiers de l'environnement et du développement durable","515417","F1144","Architecte naval / Architecte navale"
"001","Métiers de l'environnement et du développement durable","518322","F1145","Ingénieur / Ingénieure en génie maritime"
"001","Métiers de l'environnement et du développement durable","151","F1202","Chef / Cheffe de chantier bâtiment"
"001","Métiers de l'environnement et du développement durable","153","F1204","Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP"
"001","Métiers de l'environnement et du développement durable","158","F1501","Monteur / Monteuse de structures bois"
"001","Métiers de l'environnement et du développement durable","160","F1503","Charpentier / Charpentière"
"001","Métiers de l'environnement et du développement durable","488871","F1504","Charpentier / Charpentière de marine"
"001","Métiers de l'environnement et du développement durable","170","F1610","Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques"
"001","Métiers de l'environnement et du développement durable","403073","F1614","Poseur / Poseuse en fermetures de bâtiment"
"001","Métiers de l'environnement et du développement durable","509685","F1628","Installateur / Installatrice de bornes de recharges électriques"
"001","Métiers de l'environnement et du développement durable","509765","F1629","Electricien / Electricienne de signalisation ferroviaire"
"001","Métiers de l'environnement et du développement durable","403952","F1707","Maçon / Maçonne du paysage"
"001","Métiers de l'environnement et du développement durable","488584","G1103","Directeur / Directrice d'espace naturel protégé"
"001","Métiers de l'environnement et du développement durable","488765","G1104","Consultant / Consultante tourisme"
"001","Métiers de l'environnement et du développement durable","488774","G1105","Directeur / Directrice d'office du tourisme"
"001","Métiers de l'environnement et du développement durable","488794","G1106","Animateur / Animatrice du patrimoine"
"001","Métiers de l'environnement et du développement durable","182","G1201","Guide-accompagnateur / Guide-accompagnatrice"
"001","Métiers de l'environnement et du développement durable","488606","G1222","Guide-conférencier / Guide-conférencière"
"001","Métiers de l'environnement et du développement durable","488752","G1227","Guide-interprète"
"001","Métiers de l'environnement et du développement durable","489165","G1229","Guide-accompagnateur / Guide-accompagnatrice de pêche"
"001","Métiers de l'environnement et du développement durable","489016","G1231","Accompagnateur / Accompagnatrice nature"
"001","Métiers de l'environnement et du développement durable","510150","G1240","Educateur / Educatrice nature environnement"
"001","Métiers de l'environnement et du développement durable","515404","G1243","Responsable d'éducation et d'animation à l'environnement"
"001","Métiers de l'environnement et du développement durable","518647","G1245","Accompagnateur / Accompagnatrice en moyenne montagne"
"001","Métiers de l'environnement et du développement durable","518649","G1246","Animateur / Animatrice mobilité à vélo"
"001","Métiers de l'environnement et du développement durable","193","G1403","Responsable de service en établissement touristique"
"001","Métiers de l'environnement et du développement durable","488348","G1406","Directeur / Directrice d'équipement sportif"
"001","Métiers de l'environnement et du développement durable","488762","G1408","Directeur / Directrice de structure d'hébergement touristique"
"001","Métiers de l'environnement et du développement durable","509931","G1416","Directeur / Directrice d'hôtellerie de plein air"
"001","Métiers de l'environnement et du développement durable","217","H1206","Ingénieur / Ingénieure R&D en industrie"
"001","Métiers de l'environnement et du développement durable","488271","H1212","Ingénieur / Ingénieure brevet en industrie"
"001","Métiers de l'environnement et du développement durable","488303","H1215","Bioinformaticien / Bioinformaticienne en études, recherche et développement"
"001","Métiers de l'environnement et du développement durable","488308","H1216","Responsable des études épidémiologiques"
"001","Métiers de l'environnement et du développement durable","488316","H1218","Responsable de projet recherche et développement"
"001","Métiers de l'environnement et du développement durable","488319","H1219","Responsable opérationnel / Responsable opérationnelle des études cliniques en industrie pharmaceutique"
"001","Métiers de l'environnement et du développement durable","488322","H1220","Responsable formulation en industrie pharmaceutique"
"001","Métiers de l'environnement et du développement durable","488335","H1221","Responsable des partenariats de recherche en industrie pharmaceutique"
"001","Métiers de l'environnement et du développement durable","510075","H1237","Ingénieur / Ingénieure énergies renouvelables"
"001","Métiers de l'environnement et du développement durable","510028","H1239","Technicien / Technicienne bureau d'études écoconception"
"001","Métiers de l'environnement et du développement durable","513844","H1241","Architecte système hydrogène"
"001","Métiers de l'environnement et du développement durable","222","H1301","Inspecteur / Inspectrice de conformité"
"001","Métiers de l'environnement et du développement durable","223","H1302","Ingénieur / Ingénieure Hygiène, Sécurité et Environnement en industrie (HSE)"
"001","Métiers de l'environnement et du développement durable","224","H1303","Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)"
"001","Métiers de l'environnement et du développement durable","488285","H1304","Responsable Hygiène Sécurité Environnement (HSE) en industrie"
"001","Métiers de l'environnement et du développement durable","489181","H1308","Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)"
"001","Métiers de l'environnement et du développement durable","519922","H1312","Inspecteur / Inspectrice de sites industriels"
"001","Métiers de l'environnement et du développement durable","519923","H1313","Ingénieur / Ingénieure sécurité incendie"
"001","Métiers de l'environnement et du développement durable","226","H1402","Ingénieur / Ingénieure méthodes et process"
"001","Métiers de l'environnement et du développement durable","509345","H1523","Responsable Qualité Sécurité Environnement -QSE- en industrie"
"001","Métiers de l'environnement et du développement durable","509670","H1527","Responsable de sécurité industrielle"
"001","Métiers de l'environnement et du développement durable","510069","H1530","Technicien / Technicienne de la qualité de l'eau"
"001","Métiers de l'environnement et du développement durable","510457","H1533","Ingénieur / Ingénieure CND END"
"001","Métiers de l'environnement et du développement durable","510637","H1534","Ingénieur / Ingénieure d'analyse industrielle"
"001","Métiers de l'environnement et du développement durable","488631","H2703","Technicien / Technicienne de maintenance de batteries de véhicules électriques"
"001","Métiers de l'environnement et du développement durable","488775","H2704","Technicien démonteur / Technicienne démonteuse de batteries de véhicules électriques"
"001","Métiers de l'environnement et du développement durable","489071","H2705","Pilote de ligne de production de composants et de cellules pour batteries de véhicules électriques"
"001","Métiers de l'environnement et du développement durable","509683","H2709","Conducteur / Conductrice d'installation d'incinération"
"001","Métiers de l'environnement et du développement durable","513846","H2710","Technicien / Technicienne responsable d'installation hydrogène"
"001","Métiers de l'environnement et du développement durable","509348","H2711","Opérateur / Opératrice consoliste en raffinerie"
"001","Métiers de l'environnement et du développement durable","515430","H2712","Technicien / Technicienne d'exploitation en centrale hydroélectrique"
"001","Métiers de l'environnement et du développement durable","488788","I1107","Responsable d'atelier de mécanique parcs et jardins"
"001","Métiers de l'environnement et du développement durable","510409","I1113","Chef / Cheffe d'équipe atelier en démontage recyclage de VHU (Véhicules hors d'usage)"
"001","Métiers de l'environnement et du développement durable","510469","I1119","Responsable de centre de démontage recyclage des VHU"
"001","Métiers de l'environnement et du développement durable","509367","I1321","Technicien / Technicienne de maintenance d'éoliennes"
"001","Métiers de l'environnement et du développement durable","509403","I1323","Technicien / Technicienne de maintenance ferroviaire"
"001","Métiers de l'environnement et du développement durable","509702","I1328","Conseiller / Conseillère en hydraulique agricole"
"001","Métiers de l'environnement et du développement durable","324","I1503","Technicien / Technicienne en risques technologiques"
"001","Métiers de l'environnement et du développement durable","488273","I1504","Décontaminateur / Décontamineuse nucléaire et radiologique"
"001","Métiers de l'environnement et du développement durable","488281","I1505","Technicien / Technicienne logistique combustible nucléaire"
"001","Métiers de l'environnement et du développement durable","489013","I1507","Opérateur / Opératrice démantèlement nucléaire"
"001","Métiers de l'environnement et du développement durable","515418","I1510","Plongeur / Plongeuse scientifique et technique"
"001","Métiers de l'environnement et du développement durable","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles"
"001","Métiers de l'environnement et du développement durable","328","I1604","Mécanicien / Mécanicienne automobile"
"001","Métiers de l'environnement et du développement durable","488866","I1618","Mécanicien / Mécanicienne en matériels motorisés de parcs et jardins"
"001","Métiers de l'environnement et du développement durable","509371","I1622","Technicien expert / Technicienne experte après-vente de véhicules de transport routier"
"001","Métiers de l'environnement et du développement durable","510155","I1624","Mécanicien réparateur / Mécanicienne réparatrice de véhicules anciens et historiques"
"001","Métiers de l'environnement et du développement durable","510586","I1627","Technicien expert / Technicienne experte après vente motocycles"
"001","Métiers de l'environnement et du développement durable","510471","I1628","Conseiller / Conseillère technique cycles"
"001","Métiers de l'environnement et du développement durable","510466","I1629","Technicien / Technicienne de réparation et pose de vitrage des véhicules"
"001","Métiers de l'environnement et du développement durable","382","K1404","Chargé / Chargée de mission développement territorial"
"001","Métiers de l'environnement et du développement durable","392","K1702","Responsable de sécurité civile et de secours"
"001","Métiers de l'environnement et du développement durable","395","K1705","Secouriste"
"001","Métiers de l'environnement et du développement durable","509794","K1807","Urbaniste"
"001","Métiers de l'environnement et du développement durable","510071","K1811","Chargé / Chargée de projet en aménagement du territoire"
"001","Métiers de l'environnement et du développement durable","510605","K1813","Chargé / Chargée de mission eaux pluviales"
"001","Métiers de l'environnement et du développement durable","510311","K1815","Chargé / Chargée de mission "Villes et Territoires Durables""
"001","Métiers de l'environnement et du développement durable","521041","K1817","Coordinateur / Coordinatrice de projet de solidarité"
"001","Métiers de l'environnement et du développement durable","420","K2301","Agent / Agente d'exploitation des réseaux d'assainissement"
"001","Métiers de l'environnement et du développement durable","421","K2302","Responsable de collecte de déchets"
"001","Métiers de l'environnement et du développement durable","422","K2303","Equipier / Equipière de collecte de déchets"
"001","Métiers de l'environnement et du développement durable","423","K2304","Agent / Agente de tri des déchets"
"001","Métiers de l'environnement et du développement durable","425","K2306","Responsable de site éco-industriel"
"001","Métiers de l'environnement et du développement durable","488790","K2307","Agent / Agente de propreté urbaine"
"001","Métiers de l'environnement et du développement durable","489068","K2308","Opérateur / Opératrice de tri en récupération et revalorisation"
"001","Métiers de l'environnement et du développement durable","489069","K2309","Technicien / Technicienne réutilisation recyclage"
"001","Métiers de l'environnement et du développement durable","489221","K2310","Ambassadeur / Ambassadrice du tri"
"001","Métiers de l'environnement et du développement durable","509354","K2311","Responsable de site de traitement des déchets"
"001","Métiers de l'environnement et du développement durable","510266","K2312","Ingénieur / Ingénieure responsable propreté nettoiement"
"001","Métiers de l'environnement et du développement durable","510264","K2313","Technicien chargé / Technicienne chargée de la police des eaux"
"001","Métiers de l'environnement et du développement durable","510200","K2314","Technicien / Technicienne de maintenance de systèmes d'irrigation"
"001","Métiers de l'environnement et du développement durable","510065","K2316","Responsable d'usine de production d'eau potable"
"001","Métiers de l'environnement et du développement durable","509901","K2317","Technicien / Technicienne d'exploitation d'eau potable"
"001","Métiers de l'environnement et du développement durable","509889","K2318","Agent / Agente de déchèterie"
"001","Métiers de l'environnement et du développement durable","509540","K2319","Technicien / Technicienne hygiéniste"
"001","Métiers de l'environnement et du développement durable","509778","K2320","Chargé / Chargée du traitement des déchets"
"001","Métiers de l'environnement et du développement durable","509701","K2321","Egoutier / Egoutière"
"001","Métiers de l'environnement et du développement durable","509680","K2322","Technicien / Technicienne en traitement des eaux"
"001","Métiers de l'environnement et du développement durable","509682","K2323","Responsable propreté urbaine"
"001","Métiers de l'environnement et du développement durable","510158","K2325","Technicien / Technicienne d'exploitation méthanisation"
"001","Métiers de l'environnement et du développement durable","509803","K2326","Agent / Agente de mise en fourrière animale"
"001","Métiers de l'environnement et du développement durable","427","K2402","Ingénieur / Ingénieure de recherche scientifique"
"001","Métiers de l'environnement et du développement durable","488592","K2407","Climatologue"
"001","Métiers de l'environnement et du développement durable","519212","K2412","Chercheur / Chercheuse du monde aquatique"
"001","Métiers de l'environnement et du développement durable","519211","K2413","Chercheur / Chercheuse des écosystèmes"
"001","Métiers de l'environnement et du développement durable","519206","K2417","Chercheur / Chercheuse du monde marin"
"001","Métiers de l'environnement et du développement durable","519207","K2418","Chercheur animalier / Chercheuse animalière"
"001","Métiers de l'environnement et du développement durable","519208","K2419","Botaniste"
"001","Métiers de l'environnement et du développement durable","519209","K2420","Chercheur / Chercheuse du monde forestier"
"001","Métiers de l'environnement et du développement durable","519210","K2421","Chercheur / Chercheuse du monde microbien et microbiologique"
"001","Métiers de l'environnement et du développement durable","515415","M1306","Directeur / Directrice de bureau d'étude de la biodiversité"
"001","Métiers de l'environnement et du développement durable","488287","M1406","Responsable RSE (Responsabilité Sociétale de l'Entreprise)"
"001","Métiers de l'environnement et du développement durable","488729","M1410","Responsable Green IT"
"001","Métiers de l'environnement et du développement durable","488756","M1411","Consultant / Consultante en énergie renouvelable"
"001","Métiers de l'environnement et du développement durable","488778","M1412","Ergonome"
"001","Métiers de l'environnement et du développement durable","488936","M1413","Chargé / Chargée de mission RSE - Responsabilité Sociétale de l'Entreprise"
"001","Métiers de l'environnement et du développement durable","515441","M1431","Chargé / Chargée de partenariat"
"001","Métiers de l'environnement et du développement durable","498","M1809","Météorologue"
"001","Métiers de l'environnement et du développement durable","488890","M1835","Architecte systèmes et réseaux des territoires connectés"
"001","Métiers de l'environnement et du développement durable","488917","M1840","Directeur / Directrice de projets des territoires connectés"
"001","Métiers de l'environnement et du développement durable","489174","M1857","Urbaniste Datacenter"
"001","Métiers de l'environnement et du développement durable","510430","M1888","Spécialiste en modélisation climatique"
"001","Métiers de l'environnement et du développement durable","510446","M1890","Responsable d'opérations en station météorologique"
"001","Métiers de l'environnement et du développement durable","510447","M1891","Ingénieur / Ingénieure prévisionniste météorologue"
"001","Métiers de l'environnement et du développement durable","510461","M1893","Technicien / Technicienne de la météorologie"
"001","Métiers de l'environnement et du développement durable","515456","M1895","Géomaticien / Géomaticienne"
"001","Métiers de l'environnement et du développement durable","515407","N1307","Coordinateur / Coordinatrice logistique ferroviaire"
"001","Métiers de l'environnement et du développement durable","515425","N3210","Assistant / Assistante d'exploitation transport maritime"
"001","Métiers de l'environnement et du développement durable","489210","N4117","Conducteur / Conductrice d'attelage"
"001","Métiers de l'environnement et du développement durable","488857","N4118","Conducteur / Conductrice de matériel de collecte"
"001","Métiers de l'environnement et du développement durable","531","N4204","Agent / Agente d'exploitation transport routier de personnes"
"001","Métiers de l'environnement et du développement durable","509514","N4404","Chef opérateur / Cheffe opératrice des manœuvres du réseau ferré"
"001","Métiers de l'environnement et du développement durable","509667","N4405","Agent / Agente d'exploitation du réseau ferré"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","155","F1302","Conducteur / Conductrice d'engins de chantier"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","515435","H1246","Technicien / Technicienne en bureau d'études aéronautiques"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","509670","H1527","Responsable de sécurité industrielle"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","509879","H1529","Chargé / Chargée de matériovigilance"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","520076","I1123","Chef / Cheffe de service sécurité trafic routier"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","319","I1310","Mécanicien / Mécanicienne de maintenance industrielle"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488911","I1318","Instrumentiste Industriel / Industrielle"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","324","I1503","Technicien / Technicienne en risques technologiques"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489013","I1507","Opérateur / Opératrice démantèlement nucléaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","515408","I1509","Scaphandrier inspecteur / Scaphandrière inspectrice"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","515418","I1510","Plongeur / Plongeuse scientifique et technique"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","515453","I1513","Chef d'équipe scaphandrier / Cheffe d'équipe scaphandrière"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489079","I1611","Préparateur / Préparatrice de véhicules automobiles"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488742","I1615","Dépanneur-remorqueur / Dépanneuse-remorqueuse de véhicules"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488791","I1617","Contrôleur / Contrôleuse technique de véhicules"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","515391","I1632","Opérateur / Opératrice de vérification des dispositifs embarqués Véhicules Légers VL"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","515414","I1635","Mécanicien / Mécanicienne structure avion"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","515422","I1636","Mécanicien / Mécanicienne cabine"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","509643","J1123","Médecin des armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","509935","K1416","Directeur / Directrice des services pénitentiaires d'insertion et de probation (DSPIP)"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510156","K1420","Directeur / Directrice d'établissement pénitentiaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","385","K1502","Inspecteur / Inspectrice du travail"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","391","K1701","Combattant / Combattante en milieu terrestre"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","392","K1702","Responsable de sécurité civile et de secours"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","393","K1703","Responsable de l'emploi des forces armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","394","K1704","Officier / Officière de police"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","395","K1705","Secouriste"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","396","K1706","Gendarme"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488320","K1709","Commissaire de police"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488345","K1710","Pilote de drones aériens militaires"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488593","K1711","Surveillant pénitentiaire / Surveillante pénitentiaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488708","K1712","Pilote d'aéronef militaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488712","K1713","Pilote de chasse"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488892","K1714","Expert / Experte en assurance de la qualité des fournitures spécifiques des armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488906","K1715","Pilote d'hélicoptère des forces armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488907","K1716","Chef / Cheffe de service pénitentiaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489034","K1717","Opérateur / Opératrice de surveillance aérienne militaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489053","K1718","Chargé / Chargée de navigation maritime sur navire militaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489212","K1721","Technicien / Technicienne en investigation criminelle"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","489180","K1722","Plongeur démineur / Plongeuse démineuse militaire dans les fonds marins"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488934","K1723","Opérateur / Opératrice d'exploitation et de maintenance pétrolières de l'Armée"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","488725","K1724","Spécialiste en radioprotection au sein du Ministère des Armées"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510608","K1725","Responsable des opérations militaires en milieu maritime"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510040","K1726","Pisteur / Pisteuse secouriste"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510600","K1727","Chargé / Chargée du guidage d'aéronef militaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510428","K1728","Régulateur / Régulatrice de secours en montagne"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510470","K1729","Opérateur / Opératrice en pyrotechnie militaire"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510473","K1730","Spécialiste de la protection des forces, installations ou matériels sensibles de l'Etat"
"002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","510475","K1731","Responsable des opérations militaires en milieu aéroterrestre"
