"code_secteur_naf","libelle_secteur_naf","code_ogr_rome","code_rome","libelle_rome"
"1","Culture et production animale, chasse et services annexes","488328","A1505","Animalier / Animalière de laboratoire"
"1","Culture et production animale, chasse et services annexes","509692","A1508","Dresseur animalier / Dresseuse animalière"
"1","Culture et production animale, chasse et services annexes","510027","A1510","Préparateur / Préparatrice d'équidés"
"1","Culture et production animale, chasse et services annexes","519741","A1512","Dentiste équin"
"1","Culture et production animale, chasse et services annexes","509905","D1116","Négociant / Négociante en bétail"
"1","Culture et production animale, chasse et services annexes","403958","G1210","Enseignant / Enseignante d'équitation"
"1","Culture et production animale, chasse et services annexes","515434","H3306","Responsable de silo"
"1","Culture et production animale, chasse et services annexes","509702","I1328","Conseiller / Conseillère en hydraulique agricole"
"1","Culture et production animale, chasse et services annexes","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles"
"1","Culture et production animale, chasse et services annexes","519212","K2412","Chercheur / Chercheuse du monde aquatique"
"1","Culture et production animale, chasse et services annexes","519207","K2418","Chercheur animalier / Chercheuse animalière"
"1","Culture et production animale, chasse et services annexes","519208","K2419","Botaniste"
"1","Culture et production animale, chasse et services annexes","509395","L1403","Cavalier / Cavalière d'entraînement"
"1","Culture et production animale, chasse et services annexes","489210","N4117","Conducteur / Conductrice d'attelage"
"1","Culture et production animale, chasse et services annexes","518169","N4133","Conducteur / Conductrice de véhicule grumier"
"10","Industries alimentaires","14","A1303","Ingénieur / Ingénieure d'études et de recherche agricoles"
"10","Industries alimentaires","26","A1412","Fromager-affineur / Fromagère-affineuse"
"10","Industries alimentaires","80","D1101","Boucher / Bouchère"
"10","Industries alimentaires","81","D1102","Boulanger / Boulangère"
"10","Industries alimentaires","82","D1103","Charcutier-traiteur / Charcutière-traiteuse"
"10","Industries alimentaires","83","D1104","Pâtissier / Pâtissière"
"10","Industries alimentaires","84","D1105","Poissonnier / Poissonnière"
"10","Industries alimentaires","86","D1107","Vendeur / Vendeuse grossiste en produits frais"
"10","Industries alimentaires","488597","D1108","Chef boulanger / Cheffe boulangère"
"10","Industries alimentaires","489178","D1109","Chef boucher / Cheffe bouchère"
"10","Industries alimentaires","509393","D1111","Chef / Cheffe de laboratoire en charcuterie"
"10","Industries alimentaires","509520","D1112","Chef charcutier-traiteur / Cheffe charcutière-traiteuse"
"10","Industries alimentaires","509790","D1114","Torréfacteur / Torréfactrice"
"10","Industries alimentaires","510138","D1115","Chocolatier / Chocolatière"
"10","Industries alimentaires","510011","D1117","Chef pâtissier / Cheffe pâtissière"
"10","Industries alimentaires","510047","D1118","Glacier / Glacière"
"10","Industries alimentaires","515406","D1119","Mareyeur / Mareyeuse"
"10","Industries alimentaires","519956","D1120","Tourier / Tourière"
"10","Industries alimentaires","111","D1502","Chef / Cheffe de rayon produits alimentaires"
"10","Industries alimentaires","211","H1102","Ingénieur / Ingénieure d'affaires en industrie"
"10","Industries alimentaires","489029","H1108","Technicien / Technicienne support client en industrie"
"10","Industries alimentaires","519122","H1242","Responsable de développement industriel en bioproduction"
"10","Industries alimentaires","519120","H1243","Technicien / Technicienne en bioproduction"
"10","Industries alimentaires","518849","H1244","Formulateur / Formulatrice de produits alimentaires"
"10","Industries alimentaires","224","H1303","Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)"
"10","Industries alimentaires","489181","H1308","Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)"
"10","Industries alimentaires","519152","H1310","Responsable sécurité sanitaire en agroalimentaire"
"10","Industries alimentaires","233","H1505","Nez"
"10","Industries alimentaires","488278","H1508","Assureur / Assureuse qualité industrie"
"10","Industries alimentaires","488336","H1515","Auditeur / Auditrice qualité en industrie"
"10","Industries alimentaires","488344","H1518","Consultant / Consultante qualité"
"10","Industries alimentaires","488353","H1520","Ingénieur qualité / Ingénieure qualité"
"10","Industries alimentaires","235","H2101","Ouvrier / Ouvrière d'abattoir"
"10","Industries alimentaires","236","H2102","Conducteur / Conductrice de machines en industrie alimentaire"
"10","Industries alimentaires","403959","H2103","Opérateur / Opératrice de transformation des viandes"
"10","Industries alimentaires","488711","H2104","Fromager industriel / Fromagère industrielle"
"10","Industries alimentaires","509557","H2105","Agent / Agente de production en industrie alimentaire"
"10","Industries alimentaires","515400","H2106","Technicien / Technicienne de fabrication en industrie alimentaire"
"10","Industries alimentaires","515401","H2107","Opérateur / Opératrice de préparation de poissons et produits de la mer"
"10","Industries alimentaires","515433","H2108","Boulanger pâtissier industriel / Boulangère pâtissière industrielle"
"10","Industries alimentaires","518814","H2109","Pilote d'installation automatisée en industrie alimentaire"
"10","Industries alimentaires","265","H2504","Chef / Cheffe d'équipe en industrie"
"10","Industries alimentaires","488286","H2506","Chef / Cheffe de production en industrie agroalimentaire"
"10","Industries alimentaires","520127","H2515","Chef / Cheffe d'atelier en industrie de transformation"
"10","Industries alimentaires","297","H3301","Conducteur / Conductrice de ligne de conditionnement"
"10","Industries alimentaires","298","H3302","Agent / Agente de conditionnement"
"10","Industries alimentaires","299","H3303","Cuisinier / Cuisinière en industrie chimique"
"10","Industries alimentaires","488913","H3304","Chef / Cheffe de ligne conditionnement"
"10","Industries alimentaires","489083","H3305","Conducteur / Conductrice de machines de conditionnement"
"10","Industries alimentaires","515434","H3306","Responsable de silo"
"10","Industries alimentaires","515452","H3307","Agent / Agente de silo"
"10","Industries alimentaires","520912","H3309","Préparateur / Préparatrice de mélange en industrie"
"10","Industries alimentaires","519207","K2418","Chercheur animalier / Chercheuse animalière"
"10","Industries alimentaires","519208","K2419","Botaniste"
"10","Industries alimentaires","500","N1101","Cariste"
"10","Industries alimentaires","502","N1103","Préparateur / Préparatrice de commandes"
"10","Industries alimentaires","489051","N1113","Préparateur / Préparatrice au drive"
"10","Industries alimentaires","489164","N1115","Opérateur / Opératrice logistique"
"11","Fabrication de boissons","27","A1413","Brasseur / Brasseuse de bière"
"11","Fabrication de boissons","488334","A1422","Caviste de chai"
"11","Fabrication de boissons","488346","A1423","¼nologue"
"11","Fabrication de boissons","509917","A1443","Cidrier / Cidrière"
"11","Fabrication de boissons","510192","A1446","Maître / Maîtresse de chai"
"11","Fabrication de boissons","518849","H1244","Formulateur / Formulatrice de produits alimentaires"
"11","Fabrication de boissons","236","H2102","Conducteur / Conductrice de machines en industrie alimentaire"
"11","Fabrication de boissons","509557","H2105","Agent / Agente de production en industrie alimentaire"
"11","Fabrication de boissons","515400","H2106","Technicien / Technicienne de fabrication en industrie alimentaire"
"11","Fabrication de boissons","518814","H2109","Pilote d'installation automatisée en industrie alimentaire"
"11","Fabrication de boissons","488286","H2506","Chef / Cheffe de production en industrie agroalimentaire"
"11","Fabrication de boissons","297","H3301","Conducteur / Conductrice de ligne de conditionnement"
"11","Fabrication de boissons","299","H3303","Cuisinier / Cuisinière en industrie chimique"
"11","Fabrication de boissons","488913","H3304","Chef / Cheffe de ligne conditionnement"
"11","Fabrication de boissons","489083","H3305","Conducteur / Conductrice de machines de conditionnement"
"11","Fabrication de boissons","520912","H3309","Préparateur / Préparatrice de mélange en industrie"
"13","Fabrication de textiles","52","B1804","Brodeur / Brodeuse"
"13","Fabrication de textiles","54","B1806","Tapissier / Tapissière d'ameublement"
"13","Fabrication de textiles","509777","B1810","Fourreur / Fourreuse"
"13","Fabrication de textiles","509946","B1812","Modéliste"
"13","Fabrication de textiles","510168","B1814","Directeur / Directrice de collection"
"13","Fabrication de textiles","520875","B1816","Tisserand / Tisserande d'art"
"13","Fabrication de textiles","212","H1201","Coloriste en industrie"
"13","Fabrication de textiles","216","H1205","Modéliste industriel / Modéliste industrielle"
"13","Fabrication de textiles","510188","H1232","Technicien / Technicienne d'études en industrie des matériaux souples"
"13","Fabrication de textiles","509936","H1240","Agent / Agente de finissage couleurs et effets cuirs et peaux"
"13","Fabrication de textiles","247","H2401","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
"13","Fabrication de textiles","248","H2402","Couturier industriel / Couturière industrielle de l'habillement"
"13","Fabrication de textiles","249","H2403","Conducteur / Conductrice de machines de fabrication de produits textiles"
"13","Fabrication de textiles","250","H2404","Conducteur / Conductrice de machine de production et transformation des fils"
"13","Fabrication de textiles","251","H2405","Conducteur / Conductrice de ligne de production de textiles non-tissés"
"13","Fabrication de textiles","252","H2406","Conducteur / Conductrice de machines de traitement textile"
"13","Fabrication de textiles","253","H2407","Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux"
"13","Fabrication de textiles","254","H2408","Imprimeur / Imprimeuse textile"
"13","Fabrication de textiles","255","H2409","Coupeur / Coupeuse en industrie textile et matériaux souples"
"13","Fabrication de textiles","256","H2410","Opérateur / Opératrice de finition en industrie du textile"
"13","Fabrication de textiles","259","H2413","Noueur / Noueuse de chaîne de tissage"
"13","Fabrication de textiles","260","H2414","Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
"13","Fabrication de textiles","261","H2415","Contrôleur / Contrôleuse en industrie textile"
"13","Fabrication de textiles","488630","H2416","Gainier industriel / Gainière industrielle"
"13","Fabrication de textiles","488714","H2417","Conducteur / Conductrice de rame textile"
"13","Fabrication de textiles","488720","H2418","Opérateur / Opératrice sur machine de production et transformation des fils"
"13","Fabrication de textiles","488740","H2419","Passementier / Passementière"
"13","Fabrication de textiles","488760","H2420","Repasseur / Repasseuse en industrie textile et de l'habillement"
"13","Fabrication de textiles","488761","H2421","Racheliste"
"13","Fabrication de textiles","488780","H2422","Tapissier industriel / Tapissière industrielle"
"13","Fabrication de textiles","488856","H2423","Mécanicien / Mécanicienne industrie textile et de l'habillement"
"13","Fabrication de textiles","488875","H2424","Chef / Cheffe de ligne chromo en industrie textile"
"13","Fabrication de textiles","488901","H2425","Fileur / Fileuse en industrie textile"
"13","Fabrication de textiles","488932","H2426","Chef / Cheffe d'équipe en atelier de coupe"
"13","Fabrication de textiles","489060","H2427","Applicateur / Applicatrice en tannerie-mégisserie"
"13","Fabrication de textiles","266","H2505","Chef / Cheffe d'équipe et d'atelier textile"
"13","Fabrication de textiles","519147","H2512","Responsable d'atelier de fabrication de produits non-tissés"
"13","Fabrication de textiles","416","K2201","Employé / Employée de blanchisserie industrielle"
"14","Industrie de l'habillement","49","B1801","Modiste"
"14","Industrie de l'habillement","51","B1803","Couturier / Couturière"
"14","Industrie de l'habillement","52","B1804","Brodeur / Brodeuse"
"14","Industrie de l'habillement","53","B1805","Styliste"
"14","Industrie de l'habillement","509564","B1807","Assistant / Assistante styliste"
"14","Industrie de l'habillement","509644","B1808","Premier / Première d'atelier"
"14","Industrie de l'habillement","509777","B1810","Fourreur / Fourreuse"
"14","Industrie de l'habillement","509946","B1812","Modéliste"
"14","Industrie de l'habillement","510068","B1813","Tailleur / Tailleuse"
"14","Industrie de l'habillement","510168","B1814","Directeur / Directrice de collection"
"14","Industrie de l'habillement","93","D1207","Retoucheur / Retoucheuse en habillement"
"14","Industrie de l'habillement","100","D1214","Vendeur / Vendeuse en prêt-à-porter"
"14","Industrie de l'habillement","510203","D1242","Linger / Lingère"
"14","Industrie de l'habillement","211","H1102","Ingénieur / Ingénieure d'affaires en industrie"
"14","Industrie de l'habillement","212","H1201","Coloriste en industrie"
"14","Industrie de l'habillement","216","H1205","Modéliste industriel / Modéliste industrielle"
"14","Industrie de l'habillement","510188","H1232","Technicien / Technicienne d'études en industrie des matériaux souples"
"14","Industrie de l'habillement","247","H2401","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
"14","Industrie de l'habillement","248","H2402","Couturier industriel / Couturière industrielle de l'habillement"
"14","Industrie de l'habillement","249","H2403","Conducteur / Conductrice de machines de fabrication de produits textiles"
"14","Industrie de l'habillement","250","H2404","Conducteur / Conductrice de machine de production et transformation des fils"
"14","Industrie de l'habillement","251","H2405","Conducteur / Conductrice de ligne de production de textiles non-tissés"
"14","Industrie de l'habillement","252","H2406","Conducteur / Conductrice de machines de traitement textile"
"14","Industrie de l'habillement","253","H2407","Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux"
"14","Industrie de l'habillement","255","H2409","Coupeur / Coupeuse en industrie textile et matériaux souples"
"14","Industrie de l'habillement","256","H2410","Opérateur / Opératrice de finition en industrie du textile"
"14","Industrie de l'habillement","257","H2411","Monteur / Monteuse prototypiste cuir et matériaux souples"
"14","Industrie de l'habillement","258","H2412","Patronnier / Patronnière"
"14","Industrie de l'habillement","260","H2414","Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
"14","Industrie de l'habillement","261","H2415","Contrôleur / Contrôleuse en industrie textile"
"14","Industrie de l'habillement","488630","H2416","Gainier industriel / Gainière industrielle"
"14","Industrie de l'habillement","488740","H2419","Passementier / Passementière"
"14","Industrie de l'habillement","488760","H2420","Repasseur / Repasseuse en industrie textile et de l'habillement"
"14","Industrie de l'habillement","488761","H2421","Racheliste"
"14","Industrie de l'habillement","488856","H2423","Mécanicien / Mécanicienne industrie textile et de l'habillement"
"14","Industrie de l'habillement","488875","H2424","Chef / Cheffe de ligne chromo en industrie textile"
"14","Industrie de l'habillement","488901","H2425","Fileur / Fileuse en industrie textile"
"14","Industrie de l'habillement","488932","H2426","Chef / Cheffe d'équipe en atelier de coupe"
"14","Industrie de l'habillement","489060","H2427","Applicateur / Applicatrice en tannerie-mégisserie"
"14","Industrie de l'habillement","266","H2505","Chef / Cheffe d'équipe et d'atelier textile"
"14","Industrie de l'habillement","515390","H2511","Responsable d'atelier de blanchisserie industrielle"
"14","Industrie de l'habillement","519147","H2512","Responsable d'atelier de fabrication de produits non-tissés"
"14","Industrie de l'habillement","519158","H2513","Chef / Cheffe d'équipe et d'atelier cuir et peaux"
"14","Industrie de l'habillement","520127","H2515","Chef / Cheffe d'atelier en industrie de transformation"
"15","Industrie du cuir et de la chaussure","50","B1802","Maroquinier / Maroquinière"
"15","Industrie du cuir et de la chaussure","53","B1805","Styliste"
"15","Industrie du cuir et de la chaussure","509564","B1807","Assistant / Assistante styliste"
"15","Industrie du cuir et de la chaussure","510274","B1809","Sellier / Sellière"
"15","Industrie du cuir et de la chaussure","509904","B1811","Sellier-garnisseur / Sellière-garnisseuse"
"15","Industrie du cuir et de la chaussure","509547","D1226","Nettoyeur / Nettoyeuse en cuir et peausserie"
"15","Industrie du cuir et de la chaussure","212","H1201","Coloriste en industrie"
"15","Industrie du cuir et de la chaussure","509413","H1231","Patronnier / Patronnière en chaussures"
"15","Industrie du cuir et de la chaussure","510188","H1232","Technicien / Technicienne d'études en industrie des matériaux souples"
"15","Industrie du cuir et de la chaussure","509936","H1240","Agent / Agente de finissage couleurs et effets cuirs et peaux"
"15","Industrie du cuir et de la chaussure","247","H2401","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
"15","Industrie du cuir et de la chaussure","253","H2407","Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux"
"15","Industrie du cuir et de la chaussure","257","H2411","Monteur / Monteuse prototypiste cuir et matériaux souples"
"15","Industrie du cuir et de la chaussure","260","H2414","Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
"15","Industrie du cuir et de la chaussure","261","H2415","Contrôleur / Contrôleuse en industrie textile"
"15","Industrie du cuir et de la chaussure","488630","H2416","Gainier industriel / Gainière industrielle"
"15","Industrie du cuir et de la chaussure","488780","H2422","Tapissier industriel / Tapissière industrielle"
"15","Industrie du cuir et de la chaussure","488932","H2426","Chef / Cheffe d'équipe en atelier de coupe"
"15","Industrie du cuir et de la chaussure","489060","H2427","Applicateur / Applicatrice en tannerie-mégisserie"
"15","Industrie du cuir et de la chaussure","519158","H2513","Chef / Cheffe d'équipe et d'atelier cuir et peaux"
"15","Industrie du cuir et de la chaussure","520127","H2515","Chef / Cheffe d'atelier en industrie de transformation"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","41","B1401","Vannier / Vannière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","510020","B1404","Canneur rempailleur / Canneuse rempailleuse"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","158","F1501","Monteur / Monteuse de structures bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","160","F1503","Charpentier / Charpentière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","488871","F1504","Charpentier / Charpentière de marine"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","237","H2201","Assembleur / Assembleuse d'ouvrages en bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","238","H2202","Conducteur / Conductrice de ligne de production en industrie du bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","239","H2203","Conducteur / Conductrice de machines de fabrication de panneaux à base de bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","240","H2204","Agent / Agente d'encadrement en industrie du bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","241","H2205","Opérateur / Opératrice de production en industrie du bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","242","H2206","Menuisier / Menuisière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","243","H2207","Ebéniste"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","244","H2208","Façonnier / Façonnière d'ouvrages décoratifs en bois et matériaux associés"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","245","H2209","Dessinateur / Dessinatrice de structures en bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","489038","H2210","Tonnelier / Tonnelière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","488887","H2211","Opérateur / Opératrice de sciage bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","509499","H2212","Technicien / Technicienne de fabrication en industrie du bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","513850","H2214","Mérandier / Mérandière"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","518223","H2217","Responsable de scierie"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","518230","H2218","Responsable de production en industrie du bois"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","518259","H3308","Emballeur industriel / Emballeuse industrielle"
"16","Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie","518169","N4133","Conducteur / Conductrice de véhicule grumier"
"17","Industrie du papier et du carton","132","E1301","Conducteur / Conductrice de machines d'impression"
"17","Industrie du papier et du carton","133","E1302","Conducteur / Conductrice de machines de façonnage routage"
"17","Industrie du papier et du carton","509894","E1310","Contrôleur / Contrôleuse qualité en industrie graphique"
"17","Industrie du papier et du carton","510174","E1311","Régleur / Régleuse de machines de façonnage routage"
"17","Industrie du papier et du carton","510254","E1313","Agent / Agente d'encadrement en industrie graphique"
"17","Industrie du papier et du carton","510302","E1314","Conducteur / Conductrice de machines à pelliculer"
"17","Industrie du papier et du carton","510313","E1315","Conducteur / Conductrice de machines de reliure automatique"
"17","Industrie du papier et du carton","520205","E1316","Conducteur / Conductrice de machines à sérigraphier"
"17","Industrie du papier et du carton","520127","H2515","Chef / Cheffe d'atelier en industrie de transformation"
"17","Industrie du papier et du carton","292","H3101","Conducteur / Conductrice de machines à papier ou carton"
"17","Industrie du papier et du carton","293","H3102","Conducteur / Conductrice d'installation de pâte à papier"
"17","Industrie du papier et du carton","509815","H3103","Opérateur / Opératrice de production de pâte à papier"
"17","Industrie du papier et du carton","510076","H3104","Opérateur / Opératrice de production de papier carton"
"17","Industrie du papier et du carton","510178","H3105","Technicien / Technicienne de production en industrie papetière"
"17","Industrie du papier et du carton","518719","H3106","Conducteur / Conductrice de ligne en industrie papetière"
"17","Industrie du papier et du carton","298","H3302","Agent / Agente de conditionnement"
"17","Industrie du papier et du carton","299","H3303","Cuisinier / Cuisinière en industrie chimique"
"17","Industrie du papier et du carton","518259","H3308","Emballeur industriel / Emballeuse industrielle"
"17","Industrie du papier et du carton","520912","H3309","Préparateur / Préparatrice de mélange en industrie"
"17","Industrie du papier et du carton","518169","N4133","Conducteur / Conductrice de véhicule grumier"
"18","Imprimerie et reproduction d'enregistrements","42","B1402","Relieur / Relieuse d'art"
"18","Imprimerie et reproduction d'enregistrements","489064","B1403","Restaurateur / Restauratrice de livres anciens"
"18","Imprimerie et reproduction d'enregistrements","129","E1203","Technicien / Technicienne de laboratoire photographique"
"18","Imprimerie et reproduction d'enregistrements","132","E1301","Conducteur / Conductrice de machines d'impression"
"18","Imprimerie et reproduction d'enregistrements","133","E1302","Conducteur / Conductrice de machines de façonnage routage"
"18","Imprimerie et reproduction d'enregistrements","134","E1303","Chef / Cheffe de fabrication en industrie graphique"
"18","Imprimerie et reproduction d'enregistrements","135","E1304","Agent / Agente de façonnage et routage"
"18","Imprimerie et reproduction d'enregistrements","136","E1305","Préparateur-correcteur / Préparatrice-correctrice en industrie graphique"
"18","Imprimerie et reproduction d'enregistrements","137","E1306","Opérateur / Opératrice de prépresse"
"18","Imprimerie et reproduction d'enregistrements","138","E1307","Opérateur / Opératrice en reprographie"
"18","Imprimerie et reproduction d'enregistrements","139","E1308","Technicien / Technicienne des industries graphiques"
"18","Imprimerie et reproduction d'enregistrements","509508","E1309","Responsable d'atelier de façonnage routage"
"18","Imprimerie et reproduction d'enregistrements","509894","E1310","Contrôleur / Contrôleuse qualité en industrie graphique"
"18","Imprimerie et reproduction d'enregistrements","510174","E1311","Régleur / Régleuse de machines de façonnage routage"
"18","Imprimerie et reproduction d'enregistrements","510254","E1313","Agent / Agente d'encadrement en industrie graphique"
"18","Imprimerie et reproduction d'enregistrements","510302","E1314","Conducteur / Conductrice de machines à pelliculer"
"18","Imprimerie et reproduction d'enregistrements","510313","E1315","Conducteur / Conductrice de machines de reliure automatique"
"18","Imprimerie et reproduction d'enregistrements","520205","E1316","Conducteur / Conductrice de machines à sérigraphier"
"18","Imprimerie et reproduction d'enregistrements","512359","E1415","Directeur / Directrice de la production publicitaire"
"18","Imprimerie et reproduction d'enregistrements","254","H2408","Imprimeur / Imprimeuse textile"
"19","Cokefaction et raffinage","509348","H2711","Opérateur / Opératrice consoliste en raffinerie"
"19","Cokefaction et raffinage","519169","H2714","Ingénieur / Ingénieure de raffinerie"
"2","Sylviculture et exploitation forestiere","403950","A1102","Conducteur / Conductrice d'engins d'exploitation forestière"
"2","Sylviculture et exploitation forestiere","7","A1201","Bûcheron / Bûcheronne"
"2","Sylviculture et exploitation forestiere","10","A1204","Garde nature"
"2","Sylviculture et exploitation forestiere","11","A1205","Sylviculteur / Sylvicultrice"
