parent_entity_id,child_entity_id,entity_kind,relation_type,source
SKL_20b19108d741,SKL_4f28193013fe,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_07fed61b3215,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_59ede493c1cb,skill,broader_than,ESCO_SKILLS
SKL_f37682de4b11,SKL_6ddd4cf3a709,skill,broader_than,ESCO_SKILLS
SKL_4c7541ae401a,SKL_f4d0cefc6a44,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_fa6cd7a6ceb9,skill,broader_than,ESCO_SKILLS
SKL_9f20de910254,SKL_a86eac762084,skill,broader_than,ESCO_SKILLS
SKL_d8f0765c1c31,SKL_96134f8f1812,skill,broader_than,ESCO_SKILLS
SKL_6dfcac495c53,SKL_47511c703fca,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_75fa31fda74f,skill,broader_than,ESCO_SKILLS
SKL_99b6dfb907e9,SKL_d166671fe4b5,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_9ce640be2540,skill,broader_than,ESCO_SKILLS
SKL_87acac1fd513,SKL_49cd87c36526,skill,broader_than,ESCO_SKILLS
SKL_f1dfc37ab4a2,SKL_36887aac680b,skill,broader_than,ESCO_SKILLS
SKL_4c7541ae401a,SKL_1d913cbdf27e,skill,broader_than,ESCO_SKILLS
SKL_6877a7df8f96,SKL_c3fb7706013d,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_5d765b95544c,skill,broader_than,ESCO_SKILLS
SKL_8f951812d27f,SKL_2246c5ebfabc,skill,broader_than,ESCO_SKILLS
SKL_cf7c3c765da5,SKL_f777a42c8a7a,skill,broader_than,ESCO_SKILLS
SKL_309165ba639e,SKL_263cd844d73a,skill,broader_than,ESCO_SKILLS
SKL_9cdb860e33fb,SKL_20a60ab6f508,skill,broader_than,ESCO_SKILLS
SKL_fae7568e2548,SKL_ea666a1315e9,skill,broader_than,ESCO_SKILLS
SKL_cdee588f84aa,SKL_e16588481cd9,skill,broader_than,ESCO_SKILLS
SKL_bd6a2a4505fb,SKL_7e07fb258726,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_22a187393619,skill,broader_than,ESCO_SKILLS
SKL_ee04c5da3db2,SKL_481bbe53b9b3,skill,broader_than,ESCO_SKILLS
SKL_ba7115f1ce76,SKL_e08d0e304efc,skill,broader_than,ESCO_SKILLS
SKL_9a32440af0e8,SKL_42c8f4b09db4,skill,broader_than,ESCO_SKILLS
SKL_80cef42d9473,SKL_a1c8e261b079,skill,broader_than,ESCO_SKILLS
SKL_9f20de910254,SKL_a6ec38a87c43,skill,broader_than,ESCO_SKILLS
SKL_8f951812d27f,SKL_d4b8526448d7,skill,broader_than,ESCO_SKILLS
SKL_848713e2923c,SKL_008e59920331,skill,broader_than,ESCO_SKILLS
SKL_78d33c554ba5,SKL_5659d789c9de,skill,broader_than,ESCO_SKILLS
SKL_d8f0765c1c31,SKL_1d9be898b4cf,skill,broader_than,ESCO_SKILLS
SKL_918d00fba481,SKL_15d6003a68bc,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_59c64ba70b70,skill,broader_than,ESCO_SKILLS
SKL_f37682de4b11,SKL_6374fdea41cb,skill,broader_than,ESCO_SKILLS
SKL_8a4017e488ab,SKL_43d293ac99a8,skill,broader_than,ESCO_SKILLS
SKL_66180baac6e4,SKL_7ac1f1abe404,skill,broader_than,ESCO_SKILLS
SKL_2071d45dc6aa,SKL_bd3dc9b1b19e,skill,broader_than,ESCO_SKILLS
SKL_23085972a5e1,SKL_c6719c43f07e,skill,broader_than,ESCO_SKILLS
SKL_ef3bd7544220,SKL_d4b77317c825,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_dcb2d53be420,skill,broader_than,ESCO_SKILLS
SKL_8f951812d27f,SKL_f64c2563ef6a,skill,broader_than,ESCO_SKILLS
SKL_d8f0765c1c31,SKL_379bf96d5682,skill,broader_than,ESCO_SKILLS
SKL_9493d2030667,SKL_a9ac2fb5749d,skill,broader_than,ESCO_SKILLS
SKL_b547ed0b582e,SKL_cf37addf3a96,skill,broader_than,ESCO_SKILLS
SKL_e88666ea091c,SKL_dedf1948afc3,skill,broader_than,ESCO_SKILLS
SKL_e21d2bf7fe36,SKL_b4bbfe5755b9,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_5f7aa564dfb2,skill,broader_than,ESCO_SKILLS
SKL_a41501d93d27,SKL_19432d907934,skill,broader_than,ESCO_SKILLS
