entity_id,source,source_id,isco_code,pref_label_fr,pref_label_en,alt_labels_fr,alt_labels_en,description_fr,description_en,occupation_type,label_language_status
OCC_60d10ff7dab8,ESCO,2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c,2514,développeur d’applications mobiles/développeuse d’applications mobiles,,développeur d'applications pour mobile | développeur d'applications pour dispositifs mobiles | développeuse d'applications mobiles | développeuse d'applications pour portables | développeuse d'applications pour dispositifs mobiles | développeuse mobile | développeur d'applications mobiles | développeuse d'applications pour mobile | conceptrice d'applications mobiles | développeur mobile | concepteur d'applications mobiles | développeur d'applications pour portables,,"Les développeurs d’applications mobiles mettent en œuvre des logiciels d’applications pour appareils mobiles, sur la base des modèles fournis, en utilisant des outils de développement généraux ou spécifiques pour les systèmes d’exploitation de dispositifs.",,Occupation,fr_native
OCC_96b5d34f1d58,ESCO,2fb96c6c-8d0b-4ef0-b1ee-3e493305e4eb,2512,architecte cloud,,consultant en solutions cloud | aws architecte cloud,,"Les architectes cloud sont chargé(e)s de convertir les caractéristiques techniques d’un projet en architecture pour aboutir au produit final. Pour élaborer une stratégie technique en matière d’informatique cloud, ils/elles ont une connaissance approfondie des principes et des services liés à l’architecture, aident à la migration vers l’informatique en nuage, examinent les architectures liées à la charge de travail et proposent des orientations sur la manière de traiter les questions à haut risque. Ils/Elles fonctionnent généralement en amont des ventes et sont souvent invité(e)s à fournir des projets de validation de concept, des ateliers thématiques et dirigent des projets de mise en œuvre. Ils/Elles collaborent avec des ingénieurs DevOps pour mettre au point les technologies appropriées.",,Occupation,fr_native
OCC_234bb9d3e7c0,ESCO,33e4f026-a823-4ffc-99e4-60d3fe597a1e,2519,testeur de jeux numériques/testeuse de jeux numériques,,développeur de jeux numériques | développeur de jeux vidéo | testeuse de jeux numériques | testeur de jeux sur Internet | testeuse de jeux vidéo | testeur de jeux en ligne | testeuse de jeux virtuels | testeuse de jeux sur Internet | testeuse de jeux en ligne | testeur de jeux virtuels | testeur de jeux vidéo | testeur de jeux numériques,,Les appareils de jeux numériques examinent et testent différents genres de jeux numériques en les jouant afin de repérer les bogues et les problèmes à l’intérieur de la fonctionnalité ou du graphisme du jeu. Ils peuvent évaluer la capacité d’attraction et le jeu des jeux. Ils peuvent également déboiser eux-mêmes les jeux.,,Occupation,fr_native
OCC_ff4e73f258e8,ESCO,349ee6f6-c295-4c38-9b98-48765b55280e,2512,ingénieur en informatique en nuage/ingénieure en informatique en nuage,,architecte cloud | ingénieur cloud devops | développeur cloud | ingénieure sécurité cloud | ingénieur cloud hybride | ingénieure en cloud computing | ingénieur réseau cloud | ingénieure réseau cloud | ingénieur solution cloud | ingénieur en cloud computing | ingénieure cloud devops | ingénieur sécurité cloud | ingénieure cloud natif | ingénieur infrastructure cloud | ingénieur cloud natif | ingénieure logiciel cloud | ingénieure cloud hybride | ingénieur logiciel cloud | ingénieure solution cloud | ingénieure infrastructure cloud | développeuse cloud,,"Les ingénieurs en informatique en nuage/ingénieures en informatique en nuage sont responsables de la conception, de la planification, de la gestion et de la maintenance des systèmes d’informatique en nuage. Ils/Elles développent et mettent en œuvre des applications en nuage, gèrent la migration des applications existantes sur site vers le nuage et déboguent les services en nuage. 	",,Occupation,fr_native
OCC_80660e3c36ff,ESCO,35553663-deab-4d9a-bf22-15c1625d28e8,2511,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle,,concepteur de SI | designer de systèmes intelligents | conceptrice de systèmes intelligents | conceptrice de SI | ingénieur en intelligence artificielle | ingénieure en intelligence artificielle | concepteur de systèmes intelligents,,"Les ingénieurs en intelligence artificielle/ingénieures en intelligence artificielle mettent en œuvre des méthodes d’intelligence artificielle en ingénierie, robotique et informatique pour concevoir des programmes qui imitent l’intelligence, y compris des modèles de pensée, des systèmes cognitifs et des systèmes fondés sur la connaissance, la résolution de problèmes et la prise de décision. Ils/Elles intègrent également des connaissances structurées dans les systèmes informatiques (ontologies, bases de connaissances) afin de résoudre des problèmes complexes nécessitant normalement un niveau élevé d’expertise humaine ou des méthodes d’intelligence artificielle.",,Occupation,fr_native
OCC_b12363d00856,ESCO,3b1ea27c-781c-41eb-821f-214285260dd2,2519,gestionnaire des modifications et de la configuration des TIC,,spécialiste devops | ingénieur développement | gestionnaire du cycle de vie des applications | gestionnaire de changement et de configuration de logiciel | ingénieure développement | panneau de configuration,,"Les gestionnaires des modifications et de la configuration des TIC organisent et mettent en œuvre les processus visant à gérer les modifications tout au long du cycle de vie des actifs TIC tels que les logiciels, les applications, les systèmes TIC, etc. Ils/Elles ont une bonne connaissance des principales technologies et processus utilisés dans l’ingénierie des systèmes et gèrent le cycle de vie des systèmes et sous-systèmes TIC. 	",,Occupation,fr_native
OCC_69eaea4542b3,ESCO,3d190639-90f8-4402-b1b3-a104a17e0d67,2521,intégrateur de base de données/intégratrice de base de données,,conceptrice de bases de données | responsable de base de données | concepteur de base de données | intégratrice de données | intégrateur de base de données | intégrateur de données | intégratrice de base de données,,Les intégrateurs de bases de données effectuent l’intégration entre différentes bases de données. Ils maintiennent l’intégration et assurent l’interopérabilité.,,Occupation,fr_native
OCC_14d19ed15436,ESCO,3e7bf729-4442-4b9f-ad5e-83111963795c,3512,technicien informatique/technicienne informatique,,agent technique en technologie de l'information et de la communication | technicien en TIC | agente technique en TIC | technicien en systèmes d'information | responsable informatique | technicienne en TIC | ingénieur en TIC | agente technique en technologie de l'information et de la communication | agent technique en informatique | technicien informatique | technicienne en technologies de l'information et de la communication | technicien en technologies de l'information et de la communication | assistant informatique | agent technique en TIC | technicienne informatique | agente technique en informatique,,"Les techniciens/techniciennes informatique installent, gèrent, réparent et exploitent des systèmes d’information et des équipements informatiques (ordinateurs portables, ordinateurs de bureau, serveurs, tablettes, téléphones intelligents, équipements de communication, imprimantes et périphériques), et tout type de logiciel (pilotes, systèmes d’exploitation, applications).",,Occupation,fr_native
OCC_e1b1773585de,ESCO,4543bf7b-8ffb-4ade-88b9-58da34366f04,2523,responsable de la planification de la capacité informatique,,planificatrice de la capacité TIC | planificateur de la capacité informatique | responsable de la planification de la capacité en TIC | planificateur de la capacité TIC | planificatrice de la capacité informatique | planificateur de la capacité en TIC | responsable de la planification de la capacité en technologies de l'information et de la communication | planificatrice de la capacité en TIC,,"Les responsables de la planification des capacités dans le domaine des TIC veillent à ce que la capacité des services de TIC et des infrastructures de TIC permette d’atteindre les objectifs de niveau de services convenus de manière rentable et en temps utile. Ils/elles tiennent également compte de toutes les ressources nécessaires pour fournir le service de TIC approprié et prévoient des exigences pour les entreprises à court, moyen et long termes. 	",,Occupation,fr_native
OCC_e1899e09057e,ESCO,456ed487-02f2-45c9-9213-d0fd8e9a069d,2514,configurateur d’applications/configuratrice d’applications,,configuratrice de logiciels | configurateur logiciel | configurateur de logiciels | configuratrice logiciel | responsable de la configuration d'applications | configuratrice | configurateur applications | configurateur | configuratrice d'applications | configuratrice applications | configurateur d'applications,,"Les configurateurs d’applications TIC identifient, enregistrent et maintiennent des configurations d’application spécifiques aux utilisateurs sur la base des exigences des utilisateurs et des règles applicables aux entreprises. Ils configurent les systèmes logiciels génériques afin de créer une version spécifique appliquée au contexte d’une organisation. Ces configurations vont de l’ajustement des paramètres fondamentaux à la création de règles et de rôles d’activité dans le système TIC afin de développer des modules spécifiques (y compris la configuration des systèmes commerciaux prêts à l’emploi). Ils documentent également les configurations, effectuent les mises à jour de la configuration et veillent à ce que les configurations soient correctement mises en œuvre dans la demande.",,Occupation,fr_native
