entity_id,entity_kind,label_text,label_norm,label_type,language,source
SKL_13587901294b,skill,"Mettre en oeuvre une stratégie, un plan d'actions","mettre en oeuvre une strategie, un plan d'actions",preferred,fr,ROME
SKL_4dbc7ed9ae9c,skill,"Déterminer des objectifs de performance, suivre les réalisations et identifier les actions correctives","determiner des objectifs de performance, suivre les realisations et identifier les actions correctives",preferred,fr,ROME
SKL_bf1508a103d1,skill,Développer des stratégies pour améliorer l'expérience client,developper des strategies pour ameliorer l'experience client,preferred,fr,ROME
SKL_e8df387805d4,skill,Utiliser des logiciels de gestion de projet,utiliser des logiciels de gestion de projet,preferred,fr,ROME
SKL_8b1e8d9d1ad1,skill,Négocier avec les fournisseurs,negocier avec les fournisseurs,preferred,fr,ROME
SKL_610fae5fc6e8,skill,Répondre aux besoins spécifiques des utilisateurs,repondre aux besoins specifiques des utilisateurs,preferred,fr,ROME
SKL_6eebb9c67534,skill,Etablir des objectifs clairs et mesurables pour l'équipe,etablir des objectifs clairs et mesurables pour l'equipe,preferred,fr,ROME
SKL_263bf4b59356,skill,Gérer les relations avec les parties prenantes clés,gerer les relations avec les parties prenantes cles,preferred,fr,ROME
SKL_d14859690359,skill,Implémenter des outils de gestion de projet pour suivre les progrès,implementer des outils de gestion de projet pour suivre les progres,preferred,fr,ROME
SKL_68ede8dd1c7a,skill,Analyser les besoins des utilisateurs pour guider le développement de produits,analyser les besoins des utilisateurs pour guider le developpement de produits,preferred,fr,ROME
SKL_0719a6450dd0,skill,Prioriser les fonctionnalités du produit en fonction des objectifs stratégiques,prioriser les fonctionnalites du produit en fonction des objectifs strategiques,preferred,fr,ROME
SKL_f31f95d52dd2,skill,Assurer la liaison entre les parties prenantes et les équipes de développement,assurer la liaison entre les parties prenantes et les equipes de developpement,preferred,fr,ROME
