unified_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,isco_code,occupation_type,sources,member_entity_ids,wikidata_qid,wikidata_url,wikidata_description,description,description_source
UOCC_3facf15f4d71,data warehouse designer,concepteur d’entrepôt de données/conceptrice d’entrepôt de données,data warehouse architect | data warehouse developer,conceptrice d'entrepôt de données | concepteur d'entrepôt de données,2521,unified_occupation,ESCO,OCC_c7ddb7ad3c99,,,,"Data warehouse designers are responsible for planning, connecting, designing, scheduling, and deploying data warehouse systems. They develop, monitor and maintain ETL processes, reporting applications and data warehouse design.",source
UOCC_0df85846acab,computer vision engineer,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur,computer vision applied scientist | computer vision expert | computer vision specialist | computer vision project engineer | smart technics computer vision engineer,expert en vision par ordinateur | scientifique appliquée en vision par ordinateur | spécialiste de la vision par ordinateur | experte en vision par ordinateur,2511,unified_occupation,ESCO,OCC_991dd4068ca0,Q116952811,https://www.wikidata.org/wiki/Q116952811,engineer specialized in computer vision,"Computer vision engineers research, design, develop, and train artificial intelligence algorithms and machine learning primitives that understand the content of digital images based on a large amount of data. They apply this understanding to solve different real-world problems such as security, autonomous driving, robotic manufacturing, digital image classification, medical image processing and diagnosis, etc.",source
UOCC_f03d9ea5483a,embedded systems security engineer,ingénieur en sécurité des systèmes intégrés/ingénieure en sécurité des systèmes intégrés,cybersecurity engineer | cyber security engineer | IoT security engineer | internet of thing security engineer | embedded systems security expert,ingénieure sécurité IoT | ingénieur sécurité internet des objets | ingénieure en cybersécurité | ingénieure sécurité internet des objets | ingénieur cybersécurité | spécialiste de la cybersécurité | ingénieure cybersécurité | ingénieur sécurité IoT | ingénieur en cybersécurité,2529,unified_occupation,ESCO,OCC_b0446201413b,,,,"Embedded systems security engineers advise and implement solutions to control access to data and programs in embedded and connected systems. They help ensuring the safe operation of products with embedded systems and connected devices by being responsible for the protection and security of the related systems and design, plan and execute security measures accordingly. Embedded systems security engineers help to keep attackers at bay by implementing safeguards that prevent intrusions and breaches.",source
UOCC_58e96e252caa,data engineer,Data engineer,data engineer expert | research data engineer,ingénieur/ingénieure de données | ingénieur en mégadonnées | ingénieure en mégadonnées | expert en ingénieur de données | ingénieur de données expert | ingénieur de recherche en données | ingénieur en données de recherche | Architecte de données informatiques | Data manager | Développeur / Développeuse Big Data | Analyste qualité des données | Architecte big data | Big data engineer | Docteur big data | Expert / Experte big data | Expert / Experte technique big data | Ingénieur / Ingénieure big data | Ingénieur / Ingénieure dataviz | Ingénieur / Ingénieure données | Ingénieur / Ingénieure en développement big data | Responsable architecture conception data | Responsable big data | Développeur / Développeuse data | Analyste scientifique des données | Ingénieur / Ingénieure Data Visualisation,2511,unified_occupation,ESCO | ROME,OCC_7d1a8b2ea390 | OCC_903f27875082,Q104659813,https://www.wikidata.org/wiki/Q104659813,person who deals with the processing of data,"Data engineers develop the architecture needed to process, manage, and store large amounts of data which will be used by data scientists for analysis. They design the infrastructure and maintain data pipelines and warehouses to leverage data for strategic advantage.",source
UOCC_9f52b030ea97,green ICT consultant,consultant en technologie de l’information et de la communication verte/consultante en technologie de l’information et de la communication verte,IT environmental consultant | green IT consultant | green ICT consultants | ICT environmental consultant | ICT sustainability systems consultant,conseiller technologies de l'information et de la communication vertes | consultante en technologie de l'information et de la communication verte | conseillère sur les TIC vertes | conseillère technologies de l'information et de la communication vertes | conseillère en TIC vertes | consultant sur la TIC verte | consultant en technologie de l'information et de la communication verte | conseiller sur les TIC vertes | consultante sur la TIC verte | conseiller en TIC vertes,2511,unified_occupation,ESCO,OCC_43a86b759733,,,,"Green ICT consultants advise organisations on their green ICT strategy and its implementation in the most effective and efficient manner to allow the organisation to reach their short, mid, and long term ICT environmental objectives.",source
UOCC_58c82a3ba66a,sound mastering engineer,ingénieur son mastering/ingénieure son mastering,mixing & mastering sound engineer | audio mastering engineer | mixing and mastering engineer | mastering technician | audio mastering operator | mastering engineer | digital mastering technician,ingénieur son mastering | ingénieure son mastering | ingénieur de mastérisation | ingénieur du mastering | ingénieure de mastérisation | technicien au matriçage | technicienne au matriçage | ingénieure du mastering,3521,unified_occupation,ESCO,OCC_fa827183f8af,Q6785368,https://www.wikidata.org/wiki/Q6785368,type of audio engineer,"Sound mastering engineers convert finished recordings to the desired format such as CD, vinyl and digital. They ensure the quality of the sound on all formats.",source
UOCC_a13a5749a326,blockchain developer,développeur de chaînes de blocs/développeuse de chaînes de blocs,DLT engineer | blockchain development engineer | decentralized ledger technology specialist | blockchain engineer | DLT specialist,ingénieure blockchain | spécialiste de la technologie de comptabilité décentralisée | ingénieur blockchain | spécialiste DLT,2512,unified_occupation,ESCO,OCC_a4f72755e1ad,,,,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.",source
UOCC_744bda8afccc,Data Scientists,Data scientist,data scientist | data expert | research data scientist | data research scientist | electromobility data scientist | Data scientists | machine learning engineer | machine learning specialist | quantitative analyst | artificial intelligence (AI) analyst | artificial intelligence (AI) consultant | artificial intelligence (AI) designer | artificial intelligence analyst | artificial intelligence consultant | big data analyst | big data developer | big data engineer | data analytics consultant | data analytics specialist | data architect | data engineer | data miner | data mining analyst | data modeler | lead data scientist,scientifique des données | data scientist | scientifiques des données | analyste scientifique des données | experte en analyse des données | expert en analyse des données | Data Miner | Expert / Experte en sciences des données | Chargé / Chargée de modélisation des données | Explorateur / Exploratrice de données | Ingénieur / Ingénieure data scientist | Expert en datascience / Experte en datascience | Scientifiques des données,2511,unified_occupation,ESCO | NOC | ONET | ROME,OCC_05c762dc00b3 | OCC_792309dd0b13 | OCC_7bde92a813dd | OCC_e053f9b6d813,,,,"Data scientists use advanced analytics technologies, including machine learning and predictive modelling, to support the identification of trends, scrape information from unstructured data sources and provide automated recommendations. They are employed by consulting firms, universities, banks and information technology departments in the public and private sectors. Main duties: This group performs some or all of the following duties: Implement cutting-edge techniques and tools in machine learning, deep learning and artificial intelligence to make data analysis more efficient Perform large-scale experimentation to identify hidden relationships between variables in large datasets Create advanced machine learning algorithms such as regression, simulation, scenario analysis, modeling, clustering, decision trees and neural networks Prepare and extract data using programming language Implement new statistical, machine learning, or other mathematical methodologies to solve specific business problems Visualize data in a way that allows a business to quickly draw conclusions and make decisions Develop artificial intelligence models and algorithms and implement them to meet the needs of the organization Coordinate research and analysis activities using unstructured and structured data and use programming to clean and organize data",source
UOCC_ea175c103455,chief ICT security officer,responsable de la sécurité des TIC,information security manager | CISO | information security administrator | IT security officer | ICT security officer | chief information security officer | ISO | chief ICT security officers | cybersecurity programme director | information security officer | head of IT security | head IT security officer | head of information security,responsable de la sécurité des technologies de l'information et de la communication | responsable de la sécurité de la technologie de l'information et de la communication | responsable de la sécurité TIC | responsable de la sécurité informatique | responsable de la sécurité | directeur du programme de cybersécurité,2529,unified_occupation,ESCO,OCC_3ea9dcd66347,,,,"Chief ICT security officers protect company and employee information against unauthorized access. They also define the Information System security policy, manage security deployment across all Information Systems and ensure the provision of information availability.",source
UOCC_3523e479c349,enterprise architect,architecte d’entreprise,enterprise architects | enterprise developer | enterprise architecture manager | enterprise designer,architecte technique | architecte informatique d'entreprise | architecte applicatif | responsable de l'architecture d'entreprise | architecte métier,2511,unified_occupation,ESCO,OCC_01372aeb8cb5,Q17089045,https://www.wikidata.org/wiki/Q17089045,profession,"Enterprise architects balance technological opportunities with business requirements. They also maintain a holistic view of the organisation's strategy, processes, information and ICT assets and link the business mission, strategy and processes to the ICT strategy.",source
