entity_id,source,source_id,pref_label_en,pref_label_fr,alt_labels_en,alt_labels_fr,description_en,description_fr,esco_skill_type,esco_reuse_level,hard_soft_provisional,hard_soft_method,it_subtype
SKL_33e8f37de895,ESCO,66b95837-7ad1-4acd-b2a0-fdf2e55323c4,intervene with actions on stage,intervenir avec des actions sur scène,interact with actions on stage | work in connection with actions on stage | intervene with action on stage | interface with actions on stage | intervening with actions on stage | intervene with stage actions,,"Take your cues from actions on the stagte and interact with them. Take decision on the exact timing and procedure in a live environment, in order to product a fluid and consistent performance.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_224770e9399c,ESCO,be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (computer programming),Swift (programmation informatique),Swift programming paradigms | Swift software development techniques | Swift software development principles | Swift | Swift algorithms,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Swift.",,knowledge,sector-specific,hard,esco_knowledge_pillar,programming_languages
SKL_1219c236063d,ESCO,09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportation software related to an ERP system,logiciel de transport lié à un progiciel de gestion intégré,transportation software related to an ERP programme | transportation software relating to ERP systems | transportation software relating to an ERP system | transportation software related to ERP systems | transportation software related to ERP operations | transportation software related to an ERP data | transportation software related to ERP administration,logiciel de transport lié à un système d’ERP,"Business management software to collect, manage and interpret data related to shipping, payment, inventory, manufacturing applied in transportation and distribution.",,knowledge,cross-sector,hard,esco_knowledge_pillar,programming_languages
SKL_086bb3f16e79,ESCO,83b493c8-4837-41e3-9800-cff1df06cf38,configure media integration systems,configurer des systèmes d’intégration des médias,set up multimedia integration platforms,,"Define and configure the relation between incoming and outgoing signals for performing art and event applications. Using visual programming software, translating the used signal protocols, patching, merging or splitting data streams.",,skill/competence,occupation-specific,hard,esco_skillcompetence_default,other_hard
SKL_b1d74a0402e0,ESCO,8dcc1c68-1ebe-412b-b437-cab3c26da509,record data from biomedical tests,consigner les données de tests biomédicaux,use IT to record and analyse data from biomedical tests | record data from biomedical test | analyze data from biomedical test | analyse data from biomedical tests | record data from a biomedical test,,"Use information technology to accurately record and analyse data from biomedical tests, writing reports on the data and sharing results with the appropriate persons.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_3b5c38379a1a,ESCO,9ab0a456-e4f6-4070-a360-46e1009b6c0d,use CAE software,utiliser un logiciel d’IAO,utilise CAE software | make use of CAE software | use computer-aided engineering software | manage CAE software | work with CAE software | use CAE softwares | apply computer-aided engineering software | be familiar with CAE software | employ CAE software,,Work with computer-aided engineering (CAE) tools to perform analysis tasks such as Finite Element Analysis and Computational Fluid Dynamics.,,skill/competence,sector-specific,hard,esco_skillcompetence_default,programming_languages
SKL_aaa07ffaa309,ESCO,013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,KDevelop,kdevplatform | KDevelop platform,,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_cd989652bd57,ESCO,d1455e46-2d0d-4661-86ab-3cb7a0c46d02,log emergency call information electronically,enregistrer les informations des appels d’urgence sur un support électronique,electronically log emergency call information | electronically keep emergency call information | log emergency calls information electronically | keep e-information on emergency calls | register emergency call information electronically | store emergency call information electronically,,Register the information received from emergency callers into a computer for further processing or record keeping purposes.,,skill/competence,occupation-specific,hard,esco_skillcompetence_default,other_hard
SKL_136d1d682b59,ESCO,0e8d16c9-e2db-4862-ac06-1567f01ef806,building systems monitoring technology,technologie de contrôle des installations techniques des bâtiments,building monitoring systems | building M&E systems | HVAC systems | M&E systems | systems of building monitoring technology | lighting systems | building monitoring technology systems,,"Computer-based control systems that monitor mechanical and electrical equipment in a building such as HVAC, security and lighting systems.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_a2661129e9b3,ESCO,a056851d-4a8b-4007-b0f6-8224ca1ec1c2,computational linguistics,linguistique informatique,computational linguistic studies | linguistics of computation | computing linguistics | the study of computational linguistics,,The computer science field that researches the modelling of natural languages into computational and programming languages.,,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_44e58d221412,ESCO,4d97e3c3-f335-47cc-a4ee-0d779fd42222,"manage data, information and digital content","gérer des données, des informations et des contenus numériques",manage digital content information | manage digital data,,"Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_03b119dc5a49,ESCO,933efc5f-a797-4581-8a8b-c08956ff7d58,Grovo,Grovo,Grovo e-learning platform,,"The learning management system Grovo is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
